ردیف,تصویر,تاریخ,دسته‌بندی‌ها,متن پرامپت,نام فایل تصویر,عنوان تصویر
14,,06.07.2026 13:08:09,محصول / لایف‌استایل، پرتره / سلفی,"Create a highly detailed Y2K-inspired scrapbook collage poster with a warm vintage aesthetic, featuring a stylish young woman as the central subject. The composition should look like a handmade magazine mood board assembled from cut-out photographs, printed paper textures, doodles, stickers, and retro graphic elements.
The background is made of aged cream-colored paper with subtle wrinkles, stains, torn edges, and faded textures, giving the appearance of an old scrapbook page. The overall color palette consists of beige, cream, olive green, muted brown, warm gray, and soft sepia tones with low saturation for a nostalgic early 2000s feel.
The main subject appears twice in different poses:
• Upper composition: The young woman stands confidently with both hands raised near her face in a playful fashion pose. She wears white cat-eye sunglasses with black lenses, a loose oversized olive green graphic T-shirt tied into a knot at the waist, white athletic shorts with black piping, white socks, and white sneakers. Small doodle-style heart stickers decorate both cheeks. Her expression is confident, stylish, and carefree.
• Lower composition: The same woman sits casually with her legs stretched forward while leaning slightly backward. She wears the same outfit and looks directly toward the camera with a relaxed expression.
Each subject is cut out like a magazine clipping with rough white borders, hand-cut edges, paper shadows, and layered over the collage.
Surround the subject with multiple retro aesthetic elements including:
• Vintage CRT computer monitor displaying retro pixel graphics
• Beige mechanical keyboard
• Old computer hardware
• White motorcycle helmet
• Torn notebook paper
• Vintage postal stamp
• Handwritten notes
• Magazine clipping boxes
• Small cropped lifestyle photo
• Botanical photograph
• Retro fashion graphics
• Abstract paper cutouts
• Minimal geometric shapes
• Compass star graphic
• Sparkle starbursts
• Scribbled circles
• Hand-drawn squiggles
• Flower doodles
• Pencil sketch lines
• Decorative swirls
• Thin outlined typography
• Layered text fragments
• Editorial labels
• Number blocks
• Small caption boxes
• Vintage printed documents
Scatter large typography throughout the design using thin outlined letters and oversized lowercase text that partially disappears behind collage elements. Add subtle editorial-style labels, date numbers, captions, handwritten notes, and magazine-inspired layout graphics without making them the main focus.
The collage should have strong layering with overlapping paper pieces, tape marks, ripped edges, shadows beneath every element, and realistic paper depth. Everything should feel handcrafted rather than digitally assembled.
Lighting is soft, flat editorial lighting with warm natural tones and minimal contrast. The image should resemble a scanned scrapbook page mixed with vintage fashion magazine layouts.
Style: Y2K aesthetic, indie aesthetic, Tumblr moodboard, Pinterest collage, vintage scrapbook, retro editorial, nostalgic fashion poster, handmade paper collage, mixed media artwork, lifestyle magazine design, highly detailed, realistic paper textures, premium graphic design, ultra high resolution, 8K, professional composition.
Negative Prompt: low quality, blurry, oversaturated colors, modern minimalist style, empty background, AI artifacts, duplicate objects, distorted anatomy, incorrect proportions, extra limbs, watermark, logo, signature, frame, border, text errors, messy composition, plastic skin, unrealistic lighting, low resolution.",0014.jpg,یک گربه، با تی‌شرت سبز، تکیه‌داده (سبک ادیتوریال و وینتیج)
15,,06.07.2026 13:16:02,پرتره / سلفی,"Cinematic portrait of the man in the picture
(preserve 100% facial details of this man), vintage classroom. The camera is shot from a distance, with a small section of the chair's back visible in front, as if the photographer was taking the portrait discreetly or in a quiet moment. Soft, gol-den-yellow lighting reflects from a small window or gap in the right wall, forming diagonal lines of light that fall directly on the man's face, creating a dramatic and emotional contrast.
The man sits alone in a chair, his feet resting on the desk, with a relaxed and cool expression, as if lost in thought.....",0015.jpg,مردی (سبک سینمایی و وینتیج)
16,,06.07.2026 13:20:15,مد و فشن (ادیتوریال)، پرتره / سلفی,"Ultra-realistic cinematic close-up portrait of an exceptionally beautiful young woman with long, voluminous, naturally wavy jet-black hair and soft curtain bangs framing her face. She has luminous porcelain-fair skin with a natural dewy glow, delicate freckles scattered across her nose and cheeks, softly flushed rosy cheeks, full naturally pink lips with a glossy finish, and mesmerizing light green-hazel eyes with intricate iris detail, long curled eyelashes, and thick, perfectly shaped eyebrows. She gazes directly into the camera with a calm, gentle, captivating expression.
Warm golden-hour sunlight streams from behind, creating a radiant halo around her hair, glowing rim light, soft lens flare, and dreamy cinematic atmosphere. Her silky hair catches the light with rich texture and subtle movement. She wears a delicate sheer white chiffon dupatta draped gracefully over her shoulders, lightly held near her chest with one hand adorned in elegant floral mehndi (henna). Minimal natural makeup enhances her youthful beauty, with flawless skin, subtle blush, and realistic skin texture.
Ultra-photorealistic, editorial fashion portrait, luxury beauty campaign, shallow depth of field, creamy bokeh background, golden backlighting, soft warm color grading, HDR lighting, lifelike facial details, premium color harmony, 85mm lens, f/1.4, DSLR quality, hyper-detailed eyes, crisp focus, 8K, masterpiece, award-winning photography, stop-scrolling composition, highly aesthetic, premium Instagram and Threads viral portrait, vertical 3:4 aspect ratio.",0016.jpg,زنی، با موهای مشکی (سبک سینمایی و ادیتوریال)
17,,06.07.2026 13:20:15,مد و فشن (ادیتوریال)، پرتره / سلفی,"Ultra-realistic cinematic close-up portrait of an exceptionally beautiful young woman with long, voluminous, naturally wavy jet-black hair and soft curtain bangs framing her face. She has luminous porcelain-fair skin with a natural dewy glow, delicate freckles scattered across her nose and cheeks, softly flushed rosy cheeks, full naturally pink lips with a glossy finish, and mesmerizing light green-hazel eyes with intricate iris detail, long curled eyelashes, and thick, perfectly shaped eyebrows. She gazes directly into the camera with a calm, gentle, captivating expression.
Warm golden-hour sunlight streams from behind, creating a radiant halo around her hair, glowing rim light, soft lens flare, and dreamy cinematic atmosphere. Her silky hair catches the light with rich texture and subtle movement. She wears a delicate sheer white chiffon dupatta draped gracefully over her shoulders, lightly held near her chest with one hand adorned in elegant floral mehndi (henna). Minimal natural makeup enhances her youthful beauty, with flawless skin, subtle blush, and realistic skin texture.
Ultra-photorealistic, editorial fashion portrait, luxury beauty campaign, shallow depth of field, creamy bokeh background, golden backlighting, soft warm color grading, HDR lighting, lifelike facial details, premium color harmony, 85mm lens, f/1.4, DSLR quality, hyper-detailed eyes, crisp focus, 8K, masterpiece, award-winning photography, stop-scrolling composition, highly aesthetic, premium Instagram and Threads viral portrait, vertical 3:4 aspect ratio.",0017.jpg,زنی، با موهای مشکی (سبک سینمایی و ادیتوریال)
18,,06.07.2026 13:24:08,پرتره / سلفی,"Hyper-realistic cinematic forced-perspective surreal comedy scene. Recreate the exact composition, pose, camera angle, lighting, and storytelling of the reference image. Replace the man with the provided girl while preserving her facial identity and features. Change her hairstyle to a stylish messy short wavy bob and dress her in a casual beige fitted T-shirt, cream cargo pants, and white sneakers. She tightly hugs a gigantic three-scoop melting chocolate-and-vanilla ice cream cone while a giant realistic hand pulls her T-shirt from behind exactly like the reference. Match the same funny side-eye expression, wide-eyed nervous look, and body posture from the original. Add melted chocolate and vanilla ice cream smeared across her cheeks, nose, lips, arms, clothes, and shoes, with realistic drips and splashes on the floor. Ensure anatomically perfect hands, legs, feet, and body proportions. Ultra-detailed textures, realistic melting ice cream, cinematic studio lighting, shallow depth of field, HDR, 8K, photorealistic, highly detailed, playful surrealism, premium advertising photography, no text, no watermark.",0018.jpg,مردی، با تی‌شرت بژ، در یک ژست خاص، در استودیو عکاسی (سبک سینمایی و فانتزی)
19,,06.07.2026 13:28:27,پرتره / سلفی,"Ultra-realistic cinematic close-up portrait of a beautiful young woman in a cozy café during golden hour, captured with a shallow depth of field. She has shoulder-length naturally wavy light brown hair with soft texture, luminous fair skin with a natural dewy glow, subtle freckles across her nose and cheeks, rosy flushed cheeks, full matte nude-pink lips, striking green-hazel eyes, long natural eyelashes, thick well-defined eyebrows, and delicate facial features. She wears thin round black metal eyeglasses with subtle reflections on the lenses and a warm beige chunky knit sweater.
Warm amber sunlight streams through a nearby window, illuminating one side of her face while soft shadows add depth and realism. She gazes directly into the camera with a calm, thoughtful expression and slightly parted lips, creating an intimate and emotional mood.
The background is a softly blurred, cozy café interior with dark wooden shelves, books, glowing candles, and warm golden bokeh lights, enhancing the inviting atmosphere. Hyper-realistic skin texture with visible pores, ultra-sharp focus on the eyes, natural hair strands, realistic reflections, cinematic color grading, HDR, soft contrast, premium editorial portrait photography, 85mm lens, f/1.4, professional DSLR quality, 8K, highly detailed, photorealistic.",0019.jpg,زنی، با موهای قهوه‌ای، در یک کافه، در ساعت طلایی غروب (سبک سینمایی و ادیتوریال)
20,,06.07.2026 13:28:27,پرتره / سلفی,"Ultra-realistic cinematic close-up portrait of a beautiful young woman in a cozy café during golden hour, captured with a shallow depth of field. She has shoulder-length naturally wavy light brown hair with soft texture, luminous fair skin with a natural dewy glow, subtle freckles across her nose and cheeks, rosy flushed cheeks, full matte nude-pink lips, striking green-hazel eyes, long natural eyelashes, thick well-defined eyebrows, and delicate facial features. She wears thin round black metal eyeglasses with subtle reflections on the lenses and a warm beige chunky knit sweater.
Warm amber sunlight streams through a nearby window, illuminating one side of her face while soft shadows add depth and realism. She gazes directly into the camera with a calm, thoughtful expression and slightly parted lips, creating an intimate and emotional mood.
The background is a softly blurred, cozy café interior with dark wooden shelves, books, glowing candles, and warm golden bokeh lights, enhancing the inviting atmosphere. Hyper-realistic skin texture with visible pores, ultra-sharp focus on the eyes, natural hair strands, realistic reflections, cinematic color grading, HDR, soft contrast, premium editorial portrait photography, 85mm lens, f/1.4, professional DSLR quality, 8K, highly detailed, photorealistic.",0020.jpg,زنی، با موهای قهوه‌ای، در یک کافه، در ساعت طلایی غروب (سبک سینمایی و ادیتوریال)
21,,06.07.2026 13:31:24,سایر,"""Um retrato espontâneo e fotorrealista em plano médio, com proporção vertical de 9:16, capturando Sydney Sweeney, de físico curvilíneo, sentada em uma posição compacta sobre um sofá macio em tom cinza-esverdeado escuro. Seu cabelo loiro longo está levemente bagunçado, e ela apresenta uma expressão relaxada, mas direciona um olhar intenso e íntimo diretamente para a lente da câmera, com a cabeça inclinada para baixo.
Ela está vestindo um vestido curto, simples, justo, sem mangas, na cor cinza claro, com alças finas, combinado com meias vibrantes azuis acima do joelho. Seus braços estão cruzados horizontalmente, repousando confortavelmente sobre os joelhos, que estão puxados junto ao peito, com as mãos relaxadas.
Os detalhes incluem um marcante batom vermelho intenso, textura natural da pele visível, um pequeno brinco discreto na orelha esquerda e um anel simples de faixa escura no dedo anelar esquerdo.
O ambiente é minimalista, interno e com pouca iluminação, com uma parede lisa em tom off-white ao fundo. A cena é iluminada por uma luz suave, dramática e direcional vinda da esquerda, criando realces quentes e delicados em seu rosto, braços e meias, enquanto projeta sombras profundas e suaves no lado direito do corpo e do sofá.
A imagem possui uma estética cinematográfica vintage de filme analógico 35mm, com granulação natural de filme, qualidade de fotografia profissional e foco nítido nos olhos, enquanto o fundo aparece suavemente desfocado devido à baixa profundidade de campo.
O clima geral é íntimo, melancólico, nostálgico, evocando uma atmosfera de fim de noite.""",0021.jpg,فردی (سبک وینتیج)
22,,06.07.2026 13:31:24,سایر,"""Um retrato espontâneo e fotorrealista em plano médio, com proporção vertical de 9:16, capturando Sydney Sweeney, de físico curvilíneo, sentada em uma posição compacta sobre um sofá macio em tom cinza-esverdeado escuro. Seu cabelo loiro longo está levemente bagunçado, e ela apresenta uma expressão relaxada, mas direciona um olhar intenso e íntimo diretamente para a lente da câmera, com a cabeça inclinada para baixo.
Ela está vestindo um vestido curto, simples, justo, sem mangas, na cor cinza claro, com alças finas, combinado com meias vibrantes azuis acima do joelho. Seus braços estão cruzados horizontalmente, repousando confortavelmente sobre os joelhos, que estão puxados junto ao peito, com as mãos relaxadas.
Os detalhes incluem um marcante batom vermelho intenso, textura natural da pele visível, um pequeno brinco discreto na orelha esquerda e um anel simples de faixa escura no dedo anelar esquerdo.
O ambiente é minimalista, interno e com pouca iluminação, com uma parede lisa em tom off-white ao fundo. A cena é iluminada por uma luz suave, dramática e direcional vinda da esquerda, criando realces quentes e delicados em seu rosto, braços e meias, enquanto projeta sombras profundas e suaves no lado direito do corpo e do sofá.
A imagem possui uma estética cinematográfica vintage de filme analógico 35mm, com granulação natural de filme, qualidade de fotografia profissional e foco nítido nos olhos, enquanto o fundo aparece suavemente desfocado devido à baixa profundidade de campo.
O clima geral é íntimo, melancólico, nostálgico, evocando uma atmosfera de fim de noite.""",0022.jpg,فردی (سبک وینتیج)
23,,06.07.2026 13:31:24,سایر,"""Um retrato espontâneo e fotorrealista em plano médio, com proporção vertical de 9:16, capturando Sydney Sweeney, de físico curvilíneo, sentada em uma posição compacta sobre um sofá macio em tom cinza-esverdeado escuro. Seu cabelo loiro longo está levemente bagunçado, e ela apresenta uma expressão relaxada, mas direciona um olhar intenso e íntimo diretamente para a lente da câmera, com a cabeça inclinada para baixo.
Ela está vestindo um vestido curto, simples, justo, sem mangas, na cor cinza claro, com alças finas, combinado com meias vibrantes azuis acima do joelho. Seus braços estão cruzados horizontalmente, repousando confortavelmente sobre os joelhos, que estão puxados junto ao peito, com as mãos relaxadas.
Os detalhes incluem um marcante batom vermelho intenso, textura natural da pele visível, um pequeno brinco discreto na orelha esquerda e um anel simples de faixa escura no dedo anelar esquerdo.
O ambiente é minimalista, interno e com pouca iluminação, com uma parede lisa em tom off-white ao fundo. A cena é iluminada por uma luz suave, dramática e direcional vinda da esquerda, criando realces quentes e delicados em seu rosto, braços e meias, enquanto projeta sombras profundas e suaves no lado direito do corpo e do sofá.
A imagem possui uma estética cinematográfica vintage de filme analógico 35mm, com granulação natural de filme, qualidade de fotografia profissional e foco nítido nos olhos, enquanto o fundo aparece suavemente desfocado devido à baixa profundidade de campo.
O clima geral é íntimo, melancólico, nostálgico, evocando uma atmosfera de fim de noite.""",0023.jpg,فردی (سبک وینتیج)
24,,06.07.2026 13:31:24,سایر,"""Um retrato espontâneo e fotorrealista em plano médio, com proporção vertical de 9:16, capturando Sydney Sweeney, de físico curvilíneo, sentada em uma posição compacta sobre um sofá macio em tom cinza-esverdeado escuro. Seu cabelo loiro longo está levemente bagunçado, e ela apresenta uma expressão relaxada, mas direciona um olhar intenso e íntimo diretamente para a lente da câmera, com a cabeça inclinada para baixo.
Ela está vestindo um vestido curto, simples, justo, sem mangas, na cor cinza claro, com alças finas, combinado com meias vibrantes azuis acima do joelho. Seus braços estão cruzados horizontalmente, repousando confortavelmente sobre os joelhos, que estão puxados junto ao peito, com as mãos relaxadas.
Os detalhes incluem um marcante batom vermelho intenso, textura natural da pele visível, um pequeno brinco discreto na orelha esquerda e um anel simples de faixa escura no dedo anelar esquerdo.
O ambiente é minimalista, interno e com pouca iluminação, com uma parede lisa em tom off-white ao fundo. A cena é iluminada por uma luz suave, dramática e direcional vinda da esquerda, criando realces quentes e delicados em seu rosto, braços e meias, enquanto projeta sombras profundas e suaves no lado direito do corpo e do sofá.
A imagem possui uma estética cinematográfica vintage de filme analógico 35mm, com granulação natural de filme, qualidade de fotografia profissional e foco nítido nos olhos, enquanto o fundo aparece suavemente desfocado devido à baixa profundidade de campo.
O clima geral é íntimo, melancólico, nostálgico, evocando uma atmosfera de fim de noite.""",0024.jpg,فردی (سبک وینتیج)
